Sample Name	Protocol REF	Parameter Value[Channels]	Protocol REF	Parameter Value[Individual Images Or Array]	Parameter Value[Platform]	Parameter Value[Array Information]	Parameter Value[Number Of Samples Per Position]	Parameter Value[Sample Metadata]	Parameter Value[Imaging Magnification]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Number Of Biological Markers]	Parameter Value[Marker Type]	Parameter Value[Molecule Or Structure Labeled]	Parameter Value[Marker Channel]	Protocol REF	Parameter Value[Software Name]	Term Source REF	Term Accession Number	Parameter Value[Software Version]	Term Source REF	Term Accession Number	Parameter Value[measurement]	Term Source REF	Term Accession Number	Parameter Value[Company]	Term Source REF	Term Accession Number	Parameter Value[geographic location]	Term Source REF	Term Accession Number	Parameter Value[Submitted Results Files]	Parameter Value[Transformed Reusable Files]	Protocol REF	Parameter Value[Preservation]	Parameter Value[Section Thickness]	Unit	Term Source REF	Term Accession Number	Parameter Value[Section Type]	Parameter Value[Fixation Chemical]	Parameter Value[Fixation Concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Fixation Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Blocking Chemical]	Parameter Value[Blocking Concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Primary Target]	Parameter Value[Secondary Fluorophore]	Parameter Value[Number of Biological Markers]	Assay Name	Raw Data File
GC19_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_GC19_Mouse_Eye.zip
GC20_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_GC20_Mouse_Eye.zip
Viv15_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_Viv15_Mouse_Eye.zip
Viv16_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_Viv16_Mouse_Eye.zip
Viv17_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_Viv17_Mouse_Eye.zip
Viv18_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_Viv18_Mouse_Eye.zip
Viv19_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_Viv19_Mouse_Eye.zip
Viv20_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_Viv20_Mouse_Eye.zip
CC2_15_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_CC2_15_Mouse_Eye.zip
CC2_16_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_CC2_16_Mouse_Eye.zip
CC2_17_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_CC2_17_Mouse_Eye.zip
CC2_18_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_CC2_18_Mouse_Eye.zip
CC2_20_Mouse_Eye	Image File Dimensions	3	Platform And Sample - HNE and PNA	Array	BZ-X710 All-in-One inverted fluorescence microscope	In each sample, a total of 5 fields of images were sampled systematically at 20X magnification spanning the entire retina sections.	6	Paraffin-embedded sections (Six μm) of left eye, roughly 100 mm apart	20X	OSD	https://osdr.nasa.gov/	Labeling Information -  HNE and PNA Immunostaining	1	Antibody	4-hydroxynonenal (4-HNE), peanut agglutinin (PNA)	Red, Green	Quantification	ImageJ	OSD	https://osdr.nasa.gov/	1.41	OSD	https://osdr.nasa.gov/	PNA positive cell counts and 4-HNE immunoreactivity	OSD	https://osdr.nasa.gov/	National Institutes of Health (U.S.)	MESH	http://purl.bioontology.org/ontology/MESH/D009316	Bethesda, MD, USA	OSD	https://osdr.nasa.gov/	LSDS-1_immunostaining_microscopy_HNEtr_Submitted_Results.xlsx, LSDS-1_immunostaining_microscopy_PNAtr_Submitted_Results.xlsx	LSDS-1_immunostaining_microscopy_HNEtr_Transformed_Reusable_Results.csv, LSDS-1_immunostaining_microscopy_PNAtr_Transformed_Reusable_Results.csv	Labeling Protocol - HNE and PNA Immunostaining	Chemical	6	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Paraffin	paraformaldehyde	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Bovine Serum Albumin	1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4-hydroxynonenal (4-HNE), fluorescein isothiocyanate (FITC)-conjugated Peanut agglutinin (PNA)	Alexa Fluor 568 goat anti-rabbit IgG, donkey anti-rabbit IgG fluorescence-conjugated secondary antibody	1	Immunostaining	LSDS-1_immunostaining_microscopy_CC2_20_Mouse_Eye.zip
